Thread ID: 213420
Total: 18.837325

 %self     total     self     wait    child    calls  name
  0.08      8.56     0.02     0.00     8.55      100  ActiveSupport::CoreExtensions::Array::Conversions#to_xml
  0.08      7.93     0.02     0.00     7.91      400  ActiveRecord::XmlSerializer#serialize
  0.08      0.09     0.02     0.00     0.07     1000  Mime::Type#==
  0.08      0.03     0.02     0.00     0.01      600  Array#delete_if
  0.08      0.02     0.02     0.00     0.01     2000  ActiveRecord::XmlSerializer#builder
  0.08      0.08     0.02     0.00     0.06     1500  Enumerable#any?
  0.08      0.02     0.02     0.00     0.00     2700  <Class::Regexp>#escape
  0.08      0.01     0.01     0.00     0.00     2600  Array#*
  0.08     13.01     0.01     0.00    13.00      100  ActionController::Benchmarking#perform_action_without_rescue
  0.08      0.04     0.01     0.00     0.03      200  Hash#each_pair
  0.08      0.01     0.01     0.00     0.00      800  <Class::Time>#local
  0.08      0.01     0.01     0.00     0.00      100  <Class::Dir>#[]
  0.07      0.01     0.01     0.00     0.00     2600  String#*
  0.07      0.05     0.01     0.00     0.04      100  String#each_line
  0.07      0.03     0.01     0.00     0.02     2100  Inflector#dasherize
  0.07      0.86     0.01     0.00     0.85      200  SQLite3::Database#prepare
  0.07      1.01     0.01     0.00     1.00      100  Dependencies#require_or_load-1
  0.07      2.58     0.01     0.00     2.57      800  Inflector#constantize
  0.07      0.04     0.01     0.00     0.03      700  Inflector#underscore
  0.07      0.01     0.01     0.00     0.00     1100  Module#extend_object
  0.07      0.02     0.01     0.00     0.01     2000  ActiveRecord::XmlSerializer#dasherize?
  0.07      0.08     0.01     0.00     0.07      800  ActiveSupport::CoreExtensions::String::Inflections#camelize
  0.07      0.02     0.01     0.00     0.01     1500  Set#<<
  0.07      0.03     0.01     0.00     0.01     1400  Kernel#Array
  0.07      0.01     0.01     0.00     0.00     2000  String#sub
  0.07      0.02     0.01     0.00     0.01      700  Module#module_eval-1
  0.07      0.01     0.01     0.00     0.00     2500  Fixnum#*
  0.07      0.16     0.01     0.00     0.15      400  Dependencies#search_for_file
  0.07      0.15     0.01     0.00     0.14     1200  Enumerable#each_with_index
  0.07      0.01     0.01     0.00     0.00     2200  String#upcase
  0.07      0.01     0.01     0.00     0.00     2500  NilClass#nil?
  0.06      0.01     0.01     0.00     0.00     2493  Array#empty?
  0.06      0.01     0.01     0.00     0.00     2900  <Module::Dependencies>#log_activity
  0.06      0.01     0.01     0.00     0.00     1000  <Module::SQLite3::Driver::Native::API>#sqlite3_step
  0.06      0.10     0.01     0.00     0.09      100  ActionController::Base#log_processing
  0.06      0.85     0.01     0.00     0.84      100  Dependencies#new_constants_in-1
  0.06      0.01     0.01     0.00     0.00      604  IO#write
  0.06      8.60     0.01     0.00     8.59      100  ActionController::Base#render_with_no_layout
  0.06      0.05     0.01     0.00     0.04      100  CGI::Session#initialize_without_cgi_reader
  0.06      0.02     0.01     0.00     0.01      400  ActiveRecord::ConnectionAdapters::Column#simplified_type
  0.06      0.02     0.01     0.00     0.01     1000  Module#undef_method
  0.06      0.07     0.01     0.00     0.06      300  Array#collect!
  0.06      0.04     0.01     0.00     0.03      600  ActiveSupport::BufferedLogger#flush
  0.06      0.01     0.01     0.00     0.00      100  Kernel#load_without_new_constant_marking-1
  0.06      0.02     0.01     0.00     0.01      400  ActiveRecord::ConnectionAdapters::Column#type_cast_code
  0.06      0.04     0.01     0.00     0.03      600  Inflector#inflections
  0.06      7.86     0.01     0.00     7.85      400  Builder::XmlBase#tag!-1
  0.06      0.01     0.01     0.00     0.00     2600  Mime::Type#to_s
  0.06      0.01     0.01     0.00     0.00      400  ActiveRecord::Serialization::Serializer#add_includes
  0.05      0.01     0.01     0.00     0.00     1800  String#downcase
  0.05      0.11     0.01     0.00     0.10      900  SQLite3::Statement#columns
  0.05      0.03     0.01     0.00     0.02      400  ActiveRecord::XmlSerializer#root
  0.05      0.01     0.01     0.00     0.00     1900  Array#+
  0.05      0.02     0.01     0.00     0.01     1000  SQLite3::Driver::Native::Driver#column_name
  0.05      0.02     0.01     0.00     0.01     1000  SQLite3::Driver::Native::Driver#column_decltype
  0.05      0.01     0.01     0.00     0.00      500  Kernel#instance_eval
  0.05      7.28     0.01     0.00     7.27      400  ActiveRecord::XmlSerializer#add_attributes
  0.05      8.68     0.01     0.00     8.67      100  ActionController::Benchmarking#render
  0.05      0.06     0.01     0.00     0.05      200  Dependencies#autoloaded?
  0.05      0.01     0.01     0.00     0.00     1700  Kernel#instance_variable_get
  0.05      0.27     0.01     0.00     0.26      300  Dependencies#loadable_constants_for_path
  0.05      0.21     0.01     0.00     0.20      100  <Class::ActiveRecord::Base>#construct_finder_sql
  0.05      0.02     0.01     0.00     0.01      600  Inflector#constantize-1
  0.05      0.02     0.01     0.00     0.01      700  Hash#merge
  0.05      0.01     0.01     0.00     0.01      600  Inflector#inflections_without_route_reloading
  0.05      0.01     0.01     0.00     0.00     1600  SQLite3::Statement#must_be_open!
  0.05      0.01     0.01     0.00     0.00      100  <Module::SQLite3::Driver::Native::API>#sqlite3_close
  0.05     15.29     0.01     0.00    15.28      100  ActionController::Base#process_without_filters
  0.05      0.01     0.01     0.00     0.00      900  <Class::File>#directory?
  0.05      1.84     0.01     0.00     1.84      200  <Class::ActiveRecord::Base>#retrieve_connection
  0.05      0.01     0.01     0.00     0.01      600  HashWithIndifferentAccess#convert_value
  0.05      0.77     0.01     0.00     0.76     1800  <Class::ActiveRecord::Base>#columns_hash
  0.05      0.58     0.01     0.00     0.58      400  Set#initialize
  0.05      0.14     0.01     0.00     0.13      200  Inflector#pluralize
  0.05      8.13     0.01     0.00     8.12      100  Builder::XmlBase#method_missing
  0.05      0.01     0.01     0.00     0.00      800  String#=~
  0.05      0.89     0.01     0.00     0.88      100  Dependencies#load_file-1
  0.05      0.03     0.01     0.00     0.02      200  <Class::ActiveRecord::Base>#define_attr_method
  0.05      0.01     0.01     0.00     0.00     1600  Array#[]
  0.05      0.08     0.01     0.00     0.07     1000  Kernel#send-3
  0.05      0.04     0.01     0.00     0.03      200  SQLite3::Statement#execute
  0.04      0.01     0.01     0.00     0.00     1600  Hash#initialize
  0.04      7.96     0.01     0.00     7.96      400  ActiveRecord::Serialization#to_xml
  0.04      0.01     0.01     0.00     0.00     1700  Module#blank_slate_method_added
  0.04      2.59     0.01     0.00     2.58      800  ActiveSupport::CoreExtensions::String::Inflections#constantize
  0.04      8.65     0.01     0.00     8.64      100  <Module::Benchmark>#measure-1
  0.04      0.02     0.01     0.00     0.01      400  ActiveSupport::CoreExtensions::String::StartsEndsWith#ends_with?
  0.04      0.10     0.01     0.00     0.09      200  SQLite3::Statement#get_metadata
  0.04      1.79     0.01     0.00     1.78      100  <Class::ActiveRecord::Base>#sqlite3_connection
